Duration mean, 118.01560493827165, std dev, 0.7898792866940816
Rel slew mean, 0.05550790112931245, std dev, 0.004497890095176633
Rel wait mean, 0.3269567490998601, std dev, 0.014810597449868188
Rel obs mean, 0.6175353497708276, std dev, 0.015229178757048654
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
12, 118.26777777777778, 6.52, 39.666666666666664, 72.08111111111111, 0.055129132571095724, 0.33539707443560285, 0.6094737929933014, 6, 2, 112, 64, 180, 20, 25, 32, 
13, 119.85555555555555, 6.147500000000001, 38.55, 75.15805555555556, 0.051290905719847964, 0.3216371558357282, 0.6270719384444239, 4, 1, 111, 53, 177, 11, 26, 15, 
14, 117.8325, 7.251944444444445, 36.46666666666667, 74.11388888888888, 0.0615445182309163, 0.3094788506283637, 0.62897663114072, 6, 1, 109, 57, 189, 19, 26, 30, 
15, 118.51444444444445, 7.985, 33.9, 76.62944444444443, 0.06737575354152799, 0.2860410826622165, 0.6465831637962555, 5, 3, 95, 72, 192, 9, 38, 21, 
16, 116.94222222222223, 6.500555555555556, 41.21666666666667, 69.22500000000001, 0.05558775463666768, 0.35245325326847066, 0.5919589920948617, 4, 3, 103, 59, 172, 17, 23, 12, 
17, 118.51416666666667, 5.6530555555555555, 39.85, 73.0111111111111, 0.04769940771262695, 0.33624672155930724, 0.6160538707280658, 4, 1, 107, 50, 167, 11, 14, 11, 
18, 118.01527777777778, 6.306666666666667, 42.266666666666666, 69.44194444444445, 0.053439408739452285, 0.3581457203045745, 0.5884148709559732, 4, 4, 101, 65, 186, 10, 38, 15, 
19, 118.28944444444444, 8.177222222222222, 36.85, 73.26222222222222, 0.06912892575180465, 0.31152399246668955, 0.6193470817815058, 5, 1, 101, 60, 178, 8, 18, 21, 
20, 116.8736111111111, 6.080277777777778, 35.85, 74.94333333333334, 0.052024385316521884, 0.3067416130910647, 0.6412340015924135, 5, 1, 113, 55, 174, 17, 21, 22, 
21, 118.24527777777777, 6.251944444444445, 39.15, 72.84333333333333, 0.0528726775558338, 0.33109144598210405, 0.6160358764620621, 5, 1, 101, 69, 181, 15, 33, 18, 
22, 118.35277777777777, 5.759444444444444, 38.78333333333333, 73.81, 0.048663365174736545, 0.32769263266599385, 0.6236440021592696, 3, 4, 99, 55, 170, 13, 11, 13, 
23, 117.98055555555555, 7.171111111111111, 33.88333333333333, 76.92611111111111, 0.060782143950274294, 0.2871942175028842, 0.6520236385468415, 4, 1, 90, 71, 182, 10, 17, 27, 
24, 115.41027777777778, 7.5424999999999995, 39.25, 68.61777777777777, 0.06535379816451933, 0.34009102790286827, 0.5945551739326124, 4, 3, 104, 62, 186, 13, 33, 20, 
25, 118.21388888888889, 4.9825, 34.36666666666667, 78.86472222222221, 0.04214817773809244, 0.2907159809197077, 0.6671358413421998, 4, 4, 121, 49, 177, 15, 32, 16, 
26, 118.22222222222223, 7.119722222222221, 39.916666666666664, 71.18583333333333, 0.06022321428571428, 0.33764097744360905, 0.6021358082706767, 5, 1, 101, 61, 185, 15, 29, 19, 
27, 118.19611111111111, 7.163055555555556, 39.983333333333334, 71.04972222222221, 0.06060314073127054, 0.3382796012277148, 0.6011172580410147, 6, 3, 112, 51, 196, 15, 42, 18, 
28, 118.30694444444444, 7.256388888888889, 32.733333333333334, 78.31722222222221, 0.061335274298259, 0.27668141956539605, 0.6619833061363449, 4, 3, 109, 56, 183, 15, 30, 19, 
29, 118.17833333333334, 7.125833333333333, 39.28333333333333, 71.76916666666666, 0.06029729081754975, 0.3324072376493153, 0.6072954715331349, 4, 1, 117, 47, 172, 15, 22, 15, 
30, 120.41444444444446, 6.628055555555556, 36.31666666666667, 77.46972222222223, 0.05504369169442573, 0.301597261310474, 0.6433590469951003, 4, 2, 111, 55, 179, 16, 23, 22, 
31, 118.47916666666667, 6.173055555555556, 37.766666666666666, 74.53944444444444, 0.05210245589355841, 0.3187620889748549, 0.6291354551315866, 4, 1, 112, 54, 177, 13, 36, 7, 
32, 119.0761111111111, 6.605555555555555, 37.083333333333336, 75.38722222222223, 0.05547339003531821, 0.31142546550525574, 0.633101144459426, 5, 1, 99, 59, 186, 21, 25, 19, 
33, 119.42944444444444, 6.643055555555555, 37.81666666666667, 74.96972222222223, 0.055623264316914216, 0.31664441581035757, 0.6277323198727282, 6, 1, 126, 48, 192, 17, 55, 12, 
34, 118.79194444444444, 6.128611111111111, 39.233333333333334, 73.43, 0.05159113389188848, 0.33026930838464075, 0.6181395577234707, 4, 3, 112, 52, 173, 13, 19, 19, 
35, 117.03611111111111, 6.234166666666667, 37.63333333333333, 73.16861111111112, 0.05326703534046946, 0.32155317684475354, 0.625179787814777, 5, 1, 106, 51, 173, 13, 13, 18, 
36, 118.19194444444445, 6.449166666666667, 38.483333333333334, 73.25944444444444, 0.05456519644363805, 0.325600306469467, 0.6198344970868949, 5, 1, 109, 49, 175, 15, 20, 14, 
37, 119.04666666666667, 5.880555555555556, 41.86666666666667, 71.29944444444445, 0.049397061843161415, 0.3516828134625077, 0.5989201246943309, 5, 1, 107, 54, 176, 21, 28, 9, 
38, 118.06694444444445, 6.359166666666666, 36.36666666666667, 75.3411111111111, 0.05386068638084326, 0.3080173442091469, 0.6381219694100099, 4, 1, 106, 55, 172, 13, 17, 17, 
39, 118.32249999999999, 6.6913888888888895, 42.233333333333334, 69.39777777777779, 0.05655212566408662, 0.3569340855148711, 0.5865137888210423, 5, 2, 120, 50, 180, 9, 36, 15, 
