Duration mean, 118.41901543209876, std dev, 1.4101755144032884
Rel slew mean, 0.07471485598927681, std dev, 0.004389183209822388
Rel wait mean, 0.3127171490462575, std dev, 0.014543630652638317
Rel obs mean, 0.6125679949644658, std dev, 0.014693894782743269
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
10, 117.05638888888889, 9.105, 39.13333333333333, 68.81805555555555, 0.07778302480048789, 0.334311810784451, 0.5879051644150611, 5, 1, 115, 45, 177, 17, 24, 14, 
11, 118.13611111111112, 8.530000000000001, 37.71666666666667, 71.88944444444445, 0.07220484845634743, 0.3192645018693127, 0.6085306496743399, 4, 1, 106, 55, 173, 16, 18, 17, 
12, 118.18666666666667, 9.602222222222222, 37.31666666666667, 71.26777777777778, 0.08124623947051744, 0.31574345667870035, 0.6030103038507821, 5, 1, 97, 66, 178, 20, 18, 24, 
13, 118.04555555555555, 8.131388888888889, 40.38333333333333, 69.53083333333333, 0.06888348189493698, 0.34209956608089154, 0.5890169520241715, 5, 1, 115, 52, 175, 9, 21, 22, 
14, 120.6261111111111, 9.880277777777778, 32.06666666666667, 78.67916666666667, 0.0819082840917988, 0.2658352024391255, 0.6522565134690756, 4, 1, 108, 55, 167, 12, 17, 14, 
15, 118.17416666666666, 8.977777777777778, 37.31666666666667, 71.87972222222221, 0.0759707305836254, 0.3157768547835469, 0.6082524146328278, 4, 1, 111, 51, 166, 15, 15, 13, 
16, 118.68583333333333, 8.588333333333335, 40.916666666666664, 69.18083333333334, 0.07236190783791943, 0.3447476882245143, 0.5828904039375663, 5, 1, 113, 51, 175, 11, 25, 15, 
17, 118.10888888888888, 9.260833333333334, 37.8, 71.04805555555555, 0.07840928333552842, 0.3200436508683136, 0.601547065796158, 7, 1, 103, 62, 173, 12, 20, 18, 
18, 118.01666666666667, 8.954166666666666, 36.68333333333333, 72.37916666666666, 0.07587205197006072, 0.31083180341759636, 0.6132961446123429, 5, 1, 99, 54, 176, 16, 13, 17, 
19, 118.81916666666666, 9.466388888888888, 37.516666666666666, 71.83611111111111, 0.07967055446067671, 0.31574591641359767, 0.6045835291257255, 5, 1, 102, 66, 167, 9, 21, 14, 
20, 118.64083333333333, 8.546111111111111, 37.36666666666667, 72.72805555555556, 0.07203347170615326, 0.31495620535369356, 0.6130103229401531, 4, 2, 102, 63, 180, 21, 19, 26, 
21, 118.17972222222222, 9.451388888888888, 35.93333333333333, 72.795, 0.0799747089531716, 0.30405667450939833, 0.6159686165374301, 5, 1, 106, 55, 179, 14, 18, 23, 
22, 116.06527777777778, 9.69, 36.833333333333336, 69.54194444444444, 0.08348750104706404, 0.3173501501788984, 0.5991623487740376, 5, 1, 101, 62, 173, 15, 21, 16, 
23, 116.03444444444445, 8.525555555555556, 35.43333333333333, 72.07555555555555, 0.07347435148566997, 0.30536909538355467, 0.6211565531307753, 4, 1, 103, 53, 176, 11, 15, 18, 
24, 117.99027777777778, 10.651388888888889, 33.483333333333334, 73.85555555555555, 0.09027344531682224, 0.28378044330394453, 0.6259461113792332, 4, 1, 99, 57, 172, 13, 14, 15, 
25, 140.8836111111111, 9.361666666666666, 49.266666666666666, 82.25527777777778, 0.0664496501249061, 0.3496976424590038, 0.5838527074160901, 3, 5, 93, 68, 168, 10, 20, 10, 
26, 116.89222222222223, 8.913333333333334, 38.4, 69.57888888888888, 0.07625257834852618, 0.32850774217465284, 0.595239679476821, 3, 6, 119, 40, 166, 13, 15, 11, 
27, 118.34805555555555, 8.568888888888889, 37.03333333333333, 72.74583333333334, 0.07240413751340796, 0.3129188152647675, 0.6146770472218245, 4, 1, 110, 57, 167, 11, 17, 18, 
28, 115.84527777777777, 9.582777777777778, 33.88333333333333, 72.37916666666666, 0.08272048685627141, 0.2924878249964632, 0.6247916881472654, 4, 1, 101, 56, 165, 10, 11, 12, 
29, 116.29861111111111, 9.565555555555557, 36.766666666666666, 69.96638888888889, 0.08224995521585955, 0.3161402042156804, 0.60160984056846, 4, 1, 106, 54, 162, 11, 7, 16, 
30, 117.95805555555556, 7.813611111111111, 37.03333333333333, 73.1111111111111, 0.06624058928668147, 0.31395340622490575, 0.6198060044884128, 4, 2, 106, 55, 171, 9, 18, 15, 
31, 116.92805555555556, 8.170555555555556, 39.766666666666666, 68.99083333333333, 0.06987677608025827, 0.3400951677313448, 0.5900280561883969, 3, 4, 106, 54, 165, 12, 19, 7, 
32, 116.00277777777778, 8.823055555555555, 36.81666666666667, 70.36305555555555, 0.07605900241852447, 0.3173774574363641, 0.6065635401451115, 4, 1, 110, 48, 170, 11, 15, 14, 
33, 118.61888888888888, 8.038055555555555, 37.1, 73.48083333333334, 0.06776370636117537, 0.3127663759753459, 0.6194699176634787, 4, 1, 103, 55, 165, 11, 13, 11, 
34, 117.1, 8.528055555555556, 37.166666666666664, 71.40527777777778, 0.07282711832242149, 0.31739254198690575, 0.6097803396906727, 4, 2, 114, 43, 178, 8, 15, 21, 
35, 118.12027777777777, 9.511944444444444, 42.21666666666667, 66.39166666666668, 0.08052761662429773, 0.3574040584808799, 0.5620683248948224, 7, 1, 100, 63, 175, 7, 19, 20, 
36, 117.52805555555555, 8.014722222222222, 38.6, 70.91333333333334, 0.0681941191346747, 0.3284322183119397, 0.6033736625533856, 4, 1, 122, 42, 173, 16, 20, 18, 
37, 117.93166666666667, 8.824722222222222, 39.36666666666667, 69.74027777777778, 0.0748291147886959, 0.33380912675419383, 0.5913617584571103, 5, 1, 117, 47, 176, 13, 19, 22, 
38, 115.43277777777779, 8.917499999999999, 39.21666666666667, 67.29861111111111, 0.07725275412818428, 0.3397359694675593, 0.5830112764042564, 3, 4, 106, 52, 165, 6, 9, 15, 
39, 117.54166666666667, 9.423333333333332, 33.46666666666667, 74.65166666666667, 0.08017015242821694, 0.2847217298830202, 0.6351081176887629, 6, 1, 110, 48, 179, 7, 19, 19, 
40, 120.4325, 9.204444444444444, 35.916666666666664, 75.31138888888889, 0.07642824357581587, 0.29823068247081697, 0.6253410739533671, 6, 1, 104, 63, 179, 11, 29, 17, 
41, 117.96472222222222, 10.009444444444444, 35.68333333333333, 72.27194444444444, 0.0848511678397261, 0.3024915640975527, 0.6126572680627212, 4, 2, 110, 59, 172, 7, 24, 18, 
42, 118.25444444444445, 8.221666666666668, 33.53333333333333, 76.49944444444445, 0.0695252233883622, 0.28356932790874667, 0.6469054487028911, 5, 2, 104, 58, 169, 13, 20, 12, 
43, 118.01833333333333, 9.655277777777778, 35.31666666666667, 73.04638888888888, 0.0818116770934836, 0.29924729208738754, 0.6189410308191289, 5, 1, 101, 58, 167, 15, 13, 14, 
44, 115.66361111111112, 8.723888888888888, 34.63333333333333, 72.30638888888889, 0.07542466299542015, 0.2994315411790417, 0.6251437958255381, 3, 6, 104, 55, 168, 11, 21, 7, 
45, 118.19694444444445, 8.636944444444444, 35.93333333333333, 73.62666666666667, 0.07307248495331474, 0.3040123710661819, 0.6229151439805034, 4, 2, 107, 54, 173, 12, 19, 16, 
46, 118.13055555555555, 8.256666666666666, 38.733333333333334, 71.14055555555557, 0.06989442001551956, 0.32788581371834363, 0.6022197662661368, 4, 1, 113, 50, 166, 17, 16, 14, 
47, 116.94888888888889, 9.03138888888889, 33.5, 74.4175, 0.07722509358314174, 0.28644992114313944, 0.6363249852737188, 4, 1, 99, 60, 170, 10, 16, 14, 
48, 118.13361111111112, 8.46888888888889, 37.1, 72.56472222222222, 0.07168907146098698, 0.3140511802784512, 0.6142597482605618, 3, 7, 117, 43, 175, 15, 23, 13, 
49, 116.015, 8.160555555555556, 35.083333333333336, 72.77111111111111, 0.0703405211011986, 0.3024034248444885, 0.627256054054313, 3, 8, 105, 55, 174, 11, 21, 14, 
